fuente,tipo_fuente,fecha_captura,url,categoria,producto_raw,marca,presentacion,unidad_base,cantidad_empaque,precio_empaque,precio_unitario,min_piezas,precio_escalon,moneda,minimo_compra_pedido,notas,id_producto_proveedor
Abarrotero,mayorista,2026-08-18,https://abarrotero.com/producto/genbody-dengue-ns1-ag-kit-25tests/,Farmacia,GenBody Dengue NS1 Ag – Kit con 25 tests,,,pza,1,2178.0,2178.0,1,,MXN,,tachado=2273.0; actual=2178.0,55563
Abarrotero,mayorista,2026-08-18,https://abarrotero.com/producto/genbody-dengue-agab-combo-kit-10tests/,Farmacia,GenBody Dengue Ag/Ab Combo – Kit con 10 tests,,,pza,1,1106.0,1106.0,1,,MXN,,tachado=1154.0; actual=1106.0,55560
Abarrotero,mayorista,2026-08-18,https://abarrotero.com/producto/genbody-influenza-covid19-agtriple-kit-25tests/,Farmacia,GenBody Influenza/COVID-19 Ag Triple – Kit con 25 tests,,,pza,1,3723.0,3723.0,1,,MXN,,tachado=3885.0; actual=3723.0,55555
Abarrotero,mayorista,2026-08-18,https://abarrotero.com/producto/standardq-covid19-agtest-sdbiosensor-kit-25tests/,Farmacia,STANDARD Q COVID-19 Ag Test SD BIOSENSOR – Kit con 25 tests,,,pza,1,2888.0,2888.0,1,,MXN,,tachado=3320.0; actual=2888.0,55552
Abarrotero,mayorista,2026-08-18,https://abarrotero.com/producto/sedalmek-max-24-tabletas-caja-con-225-piezas/,Farmacia,Sedalmerk Max 24 Tabletas- Caja con 225 piezas.,,225 pza,pza,50625,51413.0,1.0156,225,,MXN,,,50284
Abarrotero,mayorista,2026-08-18,https://abarrotero.com/producto/xl3-xtra-gripa-y-tos-c-12-capsulas-caja-con-10-piezas/,Farmacia,XL3 Xtra Gripa y Tos C/12 Capsulas. Caja con 10 piezas.,,12 pza,pza,120,814.0,6.7833,10,,MXN,,,50334
Abarrotero,mayorista,2026-08-18,https://abarrotero.com/producto/xl3-antigripal-c-10-tabletas-caja-con-10-piezas/,Farmacia,XL3 Antigripal C/10 Tabletas. Caja con 10 piezas.,,10 pza,pza,100,466.0,4.66,10,,MXN,,,50333
Abarrotero,mayorista,2026-08-18,https://abarrotero.com/producto/voltaren-emulgel-100gr-caja-con-36-piezas/,Farmacia,Voltaren Emulgel 100gr. · Caja con 36 piezas ·,,100 g,g,36,11496.0,319.3333,36,,MXN,,,50328
Abarrotero,mayorista,2026-08-18,https://abarrotero.com/producto/vick-unguento-100gr-caja-con-48-piezas/,Farmacia,Vick Vaporub Ungüento de 100gr. Caja con 48 piezas.,,100 g,g,48,17236.0,359.0833,48,,MXN,,,50327
Abarrotero,mayorista,2026-08-18,https://abarrotero.com/producto/vick-naranja-c-20-pastillas-caja-con-40-piezas/,Farmacia,Vick Naranja 40 gr C/20 Pastillas de 2gr. Caja con 40 piezas.,,40 g,g,40,2873.0,71.825,40,,MXN,,,50326
Abarrotero,mayorista,2026-08-18,https://abarrotero.com/producto/vick-menta-eucalipto-c-20-pastillas-caja-con-40-piezas/,Farmacia,Vick Menta Eucalipto 40 gr C/20 Pastillas de 2 gr. Caja con 40 piezas.,,40 g,g,40,3103.0,77.575,40,,MXN,,,50325
Abarrotero,mayorista,2026-08-18,https://abarrotero.com/producto/venda-elastica-jaloma-15x5cm-caja-con-90-piezas/,Farmacia,Venda Elástica Jaloma 15×5 cm. Caja con 90 piezas.,,90 pza,pza,8100,2490.0,0.3074,90,,MXN,,,50313
Abarrotero,mayorista,2026-08-18,https://abarrotero.com/producto/tylenon-suspension-infantil-cereza-120ml-caja-con-30-piezas/,Farmacia,Tylenon Suspensión Infantil Cereza 120ml. Caja con 30 piezas.,,120 ml,ml,30,7002.0,233.4,30,,MXN,,,50309
Abarrotero,mayorista,2026-08-18,https://abarrotero.com/producto/treda-oral-tabletas-20-comprimidos-caja-con-12/,Farmacia,Treda Oral Tabletas – 20 comprimidos – caja con 12,,1 pza,pza,12,1857.0,154.75,12,,MXN,,tachado=2043.0; actual=1857.0,50305
Abarrotero,mayorista,2026-08-18,https://abarrotero.com/producto/tesalon-con-20-perlas-caja-con-20-piezas/,Farmacia,Tesalon con 20 Perlas. Caja con 20 piezas.,,20 pza,pza,400,5623.0,14.0575,20,,MXN,,,50302
Abarrotero,mayorista,2026-08-18,https://abarrotero.com/producto/tempra-jarabe-fresa-120ml-caja-con-24-piezas/,Farmacia,Tempra Jarabe Fresa 120 ml. Caja con 24 piezas.,,120 ml,ml,24,5627.0,234.4583,24,,MXN,,,50298
